area,cis_v1_0,cis_v2_0,cis_v2_2,cis_v2_3,classification
include_common,IBIS-IP_common_V1.0.xsd,IBIS-IP_common_V2.0.xsd,IBIS-IP_common_V2.2.xsd,IBIS-IP_common_V2.3.xsd,dependency_pool_delta
include_enumerations,IBIS-IP_Enumerations_V1.0.xsd,IBIS-IP_Enumerations_V2.0.xsd,IBIS-IP_Enumerations_V2.2.xsd,IBIS-IP_Enumerations_V2.2.xsd,dependency_pool_delta
CustomerInformationServiceOperations,absent,present,present,present,operation_model_delta
TopLevel_CustomerInformationService_elements,absent,present,present,present,operation_model_delta
operation_set,structures_only_10,10_group_and_top_level,10_group_and_top_level,10_group_and_top_level,no_v2_0_v2_3_operation_set_delta
AllData_TripInformation,1_to_2,1_to_2,0_to_2,0_to_2,v2_2_cardinality_delta
AllData_GlobalDisplayContent,absent,absent,0_to_unbounded,0_to_unbounded,v2_2_structure_delta
CurrentConnectionInformationData_CurrentConnection,1_to_1,0_to_unbounded,0_to_unbounded,0_to_unbounded,v2_0_cardinality_delta
CurrentDisplayContentData_CurrentDisplayContent,1_to_1,1_to_unbounded,1_to_unbounded,1_to_unbounded,v2_0_cardinality_delta
VehicleInformationGroup_SpeakerActive,absent,optional,optional,optional,v2_0_structure_delta
VehicleInformationGroup_StopInformationActive,absent,optional,optional,optional,v2_0_structure_delta
VehicleInformationGroup_MyOwnVehicleMode,absent,absent,optional_NetexMode,optional_NetexMode,v2_2_structure_delta
VehicleInformationGroup_TripState,absent,absent,optional_TripStateEnumeration,optional_TripStateEnumeration,v2_2_structure_delta
VehicleInformationGroup_VehicleMode,optional_VehicleModeEnumeration,optional_VehicleModeEnumeration,optional_deprecated_VehicleModeEnumeration,optional_deprecated_VehicleModeEnumeration,v2_2_annotation_semantic_delta
