xsd_type,value_type,error_code_cardinality,status
IBIS-IP.anyURI,xs:anyURI,0:1,OK
IBIS-IP.boolean,xs:boolean,0:1,OK
IBIS-IP.byte,xs:byte,0:1,OK
IBIS-IP.date,xs:date,0:1,OK
IBIS-IP.dateTime,xs:dateTime,0:1,OK
IBIS-IP.double,xs:double,0:1,OK
IBIS-IP.duration,xs:duration,0:1,OK
IBIS-IP.int,xs:int,0:1,OK
IBIS-IP.language,xs:language,0:1,OK
IBIS-IP.NMTOKEN,xs:NMTOKEN,0:1,OK
IBIS-IP.nonNegativeInteger,xs:nonNegativeInteger,0:1,OK
IBIS-IP.normalizedString,xs:normalizedString,0:1,OK
IBIS-IP.string,xs:string,0:1,OK
IBIS-IP.time,xs:time,0:1,OK
IBIS-IP.unsignedInt,xs:unsignedInt,0:1,OK
IBIS-IP.unsignedLong,xs:unsignedLong,0:1,OK
