version,source_file,simple_type,restriction_base,count,values
V1.0,IBIS-IP_Enumerations_V1.0.xsd,ConnectionStateEnumeration,xs:string,3,"ConnectionBroken;ConnectionOK;NoInformationAvailable"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,ConnectionTypeEnumeration,xs:string,2,"Interchange;ProtectedConnection"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,DataIntervallEnumeration,xs:string,4,"DistanceData;GNSSData;Heartbeat;NetworkLocationData"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,DeviceClassEnumeration,xs:string,13,"OnBoardUnit;SideDisplay;FrontDisplay;InteriorDisplay;Validator;TicketVendingMachine;AnnouncementSystem;MMI;VideoSystem;APC;MobileInterface;Other;TestDevice"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,DeviceStateEnumeration,xs:string,3,"defective;notavailable;running"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,DeviceTaskEnumeration,xs:string,3,"restart;start_standby;stop_standby"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,DoorCountingObjectClassEnumeration,xs:string,7,"Adult;Child;Bike;WheelChair;Pram;Unidentified;Other"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,DoorCountingQualityEnumeration,xs:string,4,"Defect;Regular;Sabotage;Other"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,DoorOpenStateEnumeration,xs:string,4,"DoorsOpen;AllDoorsClosed;SingleDoorOpen;SingleDoorClosed"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,DoorOperationStateEnumeration,xs:string,3,"Locked;Normal;EmergencyRelease"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,ErrorCodeEnumeration,xs:string,7,"DataEstimated;FaultData;NoScheduleDataAvailable;DeviceMissing;NoServiceResponse;ImportantDataNotAvailable;DataNotValid"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,ExitSideEnumeration,xs:string,4,"both;left;right;unknown"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,GNSSCoordinateSystemEnumeration,xs:string,9,"CH1903;ETSR89;IERS;NAD27;NAD83;WGS84;WGS72;SGS85;P90"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,GNSSQualityEnumeration,xs:string,5,"dGPS;Estimated;GPS;NotValid;Unknown"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,GNSSTypeEnumeration,xs:string,8,"GPS;Glonass;Galileo;Beidou;IRNSS;other;DeadReckoning;MixedGNSSTypes"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,IBIS-IP-VersionEnumeration,xs:string,1,"1.0"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,JourneyModeEnumeration,xs:string,3,"NoTrip;AdditionalTrip;ServiceTrip"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,LocationStateEnumeration,xs:string,4,"AfterStop;AtStop;BeforeStop;BetweenStop"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,MessageTypeEnumeration,xs:string,3,"Status;Warning;Error"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,RouteDeviationEnumeration,xs:string,3,"onroute;offroute;unknown"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,ServiceNameEnumeration,xs:string,12,"CustomerInformationService;DeviceManagementService;JourneyInformationService;BeaconLocationService;DistanceLocationService;GNSSLocationService;NetworkLocationService;SystemDocumentationService;SystemManagementService;TicketingService;TimeService;TestService"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,ServiceStateEnumeration,xs:string,4,"defective;notrunning;running;standby"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,SystemDocumentationInformationEnumeration,xs:string,4,"ErrorMessage;StatusMessage;WarningMessage;All"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,TicketRazziaInformationEnumeration,xs:string,2,"razzia;norazzia"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,TicketValidationEnumeration,xs:string,3,"valid;notvalid;NoCard"
V1.0,IBIS-IP_Enumerations_V1.0.xsd,VehicleModeEnumeration,xs:string,8,"air;bus;coach;ferry;metro;rail;tram;underground"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,ConnectionStateEnumeration,xs:string,3,"ConnectionBroken;ConnectionOK;NoInformationAvailable"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,ConnectionTypeEnumeration,xs:string,2,"Interchange;ProtectedConnection"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,DataIntervalEnumeration,xs:string,4,"DistanceData;GNSSData;Heartbeat;NetworkLocationData"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,DeviceClassEnumeration,xs:string,13,"OnBoardUnit;SideDisplay;FrontDisplay;InteriorDisplay;Validator;TicketVendingMachine;AnnouncementSystem;MMI;VideoSystem;APC;MobileInterface;Other;TestDevice"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,DeviceStateEnumeration,xs:string,4,"defective;notavailable;running;readyForShutdown"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,DeviceTaskEnumeration,xs:string,3,"restart;start_standby;stop_standby"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,DoorCountingObjectClassEnumeration,xs:string,7,"Adult;Child;Bike;WheelChair;Pram;Unidentified;Other"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,DoorCountingQualityEnumeration,xs:string,4,"Defect;Regular;Sabotage;Other"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,DoorOpenStateEnumeration,xs:string,4,"DoorsOpen;AllDoorsClosed;SingleDoorOpen;SingleDoorClosed"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,DoorOperationStateEnumeration,xs:string,3,"Locked;Normal;EmergencyRelease"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,ErrorCodeEnumeration,xs:string,7,"DataEstimated;FaultData;NoScheduleDataAvailable;DeviceMissing;NoServiceResponse;ImportantDataNotAvailable;DataNotValid"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,ExitSideEnumeration,xs:string,4,"both;left;right;unknown"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,GNSSCoordinateSystemEnumeration,xs:string,9,"CH1903;ETSR89;IERS;NAD27;NAD83;WGS84;WGS72;SGS85;P90"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,GNSSQualityEnumeration,xs:string,5,"dGPS;Estimated;GPS;NotValid;Unknown"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,GNSSTypeEnumeration,xs:string,8,"GPS;Glonass;Galileo;Beidou;IRNSS;other;DeadReckoning;MixedGNSSTypes"
V2.0,IBIS-IP_Enumerations_V2.0.xsd,JourneyModeEnumeration,xs:string,3,"NoTrip;AdditionalTrip;ServiceTrip"
