change,type_name,value,status,notes
added_value,DeviceClassEnumeration,MultiFunctionalDisplay,confirmed_xsd_delta,"V2.1 XSD adds the value; V2.1 PDF history/table confirms."
added_value,ErrorCodeEnumeration,OperationNotSupported,confirmed_xsd_delta,"V2.1 XSD adds the value; V2.1 PDF history/table confirms."
added_value,ServiceNameEnumeration,DoorStateService,confirmed_xsd_delta,"V2.1 XSD adds the value; V2.1 PDF history/table confirms."
added_value,ServiceNameEnumeration,TrainSetDataService,confirmed_xsd_delta,"V2.1 XSD adds the value; V2.1 PDF history/table confirms."
added_value,ServiceNameEnumeration,TrainSetInformationService,confirmed_xsd_delta,"V2.1 XSD adds the value; V2.1 PDF history/table confirms."
added_value,ServiceNameEnumeration,TrainSetManagementService,confirmed_xsd_delta,"V2.1 XSD adds the value; V2.1 PDF history/table confirms."
added_value,ServiceNameEnumeration,TicketValidationService,confirmed_xsd_delta,"V2.1 XSD adds the value; V2.1 PDF history/table confirms."
added_value,ServiceNameEnumeration,HTMLDisplayService,confirmed_xsd_delta,"V2.1 XSD adds the value; V2.1 PDF history/table confirms."
include_family,IBIS-IP_common_V2.0.xsd,IBIS-IP_Enumerations_V2.0.xsd,confirmed_xsd_fact,"Common V2.0 includes Enumerations V2.0."
include_family,IBIS-IP_common_V2.1.xsd,IBIS-IP_Enumerations_V2.1.xsd,confirmed_xsd_fact,"Common V2.1 includes Enumerations V2.1."
