change_type,simple_type,value_v2_1,value_v2_2,first_pass_classification,notes
added,DeviceClassEnumeration,,CombiDevice,confirmed_xsd_delta,"V2.2 PDF version history and table confirm CombiDevice."
added,DeviceStateEnumeration,,warning,xsd_only_pdf_gap_candidate,"V2.2 XSD contains warning; V2.2 PDF DeviceStateEnumeration table lists defective/notavailable/running/readyForShutdown only. Supports CE-006 historical range."
removed,ServiceNameEnumeration,SystemDocumentationService,,confirmed_xsd_delta_pdf_table_gap,"V2.2 version history says deleted; V2.2 XSD removes it; V2.2 PDF table still prints it. Supports CE-004."
removed,ServiceNameEnumeration,SystemManagementService,,confirmed_xsd_delta_pdf_table_gap,"V2.2 version history says deleted; V2.2 XSD removes it; V2.2 PDF table still prints it. Supports CE-004."
added,ServiceNameEnumeration,,SystemMonitoringService,confirmed_xsd_delta,"V2.2 version history/table and XSD confirm addition."
added,TripStateEnumeration,,type-added,confirmed_xsd_delta,"V2.2 PDF history/table and XSD confirm new TripStateEnumeration."
added,PtSubModesEnumeration,,type-added,confirmed_xsd_delta,"V2.2 PDF history says sections 3.28-3.40 added for NetexMode; XSD contains type."
added,PrivateSubModesEnumeration,,type-added,confirmed_xsd_delta,"V2.2 PDF history says sections 3.28-3.40 added for NetexMode; XSD contains type."
added,RailSubmodeEnumeration,,type-added,confirmed_xsd_delta_with_value_gap,"V2.2 PDF table lists specialRail; XSD contains specialTrain. Supports CE-009 historical origin."
added,CoachSubmodeEnumeration,,type-added,confirmed_xsd_delta,"V2.2 PDF history says submode enumerations added."
added,MetroSubmodeEnumeration,,type-added,confirmed_xsd_delta,"V2.2 PDF history says submode enumerations added."
added,BusSubmodeEnumeration,,type-added,confirmed_xsd_delta,"V2.2 PDF history says submode enumerations added."
added,TramSubmodeEnumeration,,type-added,confirmed_xsd_delta,"V2.2 PDF history says submode enumerations added."
added,WaterSubmodeEnumeration,,type-added,confirmed_xsd_delta,"V2.2 PDF history says submode enumerations added."
added,AirSubmodeEnumeration,,type-added,confirmed_xsd_delta_with_value_gap,"V2.2 PDF table does not show canalBarge while XSD contains it in later confirmed inventory; check exact V2.2 XSD value in full closure. Supports CE-010 history investigation."
added,TelecabinSubmodeEnumeration,,type-added,confirmed_xsd_delta,"V2.2 PDF history says submode enumerations added."
added,FunicularSubmodeEnumeration,,type-added,confirmed_xsd_delta_with_case_gap,"V2.2 PDF table prints Unknown; XSD uses unknown. Supports CE-008."
added,TaxiSubmodeEnumeration,,type-added,confirmed_xsd_delta_with_case_gap,"V2.2 PDF table prints Unknown/Undefined/minicab; XSD uses unknown/undefined/miniCab in checked later inventories. Supports CE-008; exact V2.2 XSD spelling to be rechecked in closure."
added,SelfDriveSubmodeEnumeration,,type-added,confirmed_xsd_delta,"V2.2 PDF history says submode enumerations added."
