source_file,pdf_document,table_no,section,simple_type,pdf_enum_name_observed,value_count,values_pipe,extraction_status
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),65,3.1,ConnectionStateEnumeration,ConnectionStateEnumeration,3,ConnectionBroken|ConnectionOK|NoInformationAvailable,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),66,3.2,ConnectionTypeEnumeration,ConnectionTypeEnumeration,2,Interchange|ProtectedConnection,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),67,3.3,DataIntervalEnumeration,DataIntervalEnumeration,4,DistanceData|GNSSData|Heartbeat|NetworkLocationData,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),68,3.4,DeviceClassEnumeration,DeviceClassEnumeration,15,OnBoardUnit|SideDisplay|FrontDisplay|InteriorDisplay|Validator|TicketVendingMachine|AnnouncementSystem|MMI|VideoSystem|APC|MobileInterface|Other|TestDevice|MultiFunctionalDisplay|CombiDevice,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),69,3.5,DeviceStateEnumeration,DeviceStateEnumeration,4,defective|notavailable|running|readyForShutdown,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),70,3.6,DeviceTaskEnumeration,DeviceTaskEnumeration,3,restart|start_standby|stop_standby,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),71,3.7,DoorCountingObjectClassEnumeration,DoorCountingObjectClassEnumeration,7,Adult|Bike|Child|Pram|Wheelchair|Unidentified|Other,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),72,3.8,DoorCountingQualityEnumeration,DoorCountingQualityEnumeration,4,Defect|Other|Regular|Sabotage,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),73,3.9,DoorOpenStateEnumeration,DoorOpenStateEnumeration,4,DoorsOpen|AllDoorsClosed|SingleDoorOpen|SingleDoorClosed,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),74,3.10,DoorOperationStateEnumeration,DoorOperationStateEnumeration,3,Locked|Normal|EmergencyRelease,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),75,3.11,ErrorCodeEnumeration,ErrorCodeEnumeration,8,DataEstimated|FaultData|NoScheduleDataAvailable|DeviceMissing|NoServiceResponse|ImportantDataNotAvailable|DataNotValid|OperationNotSupported,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),76,3.12,ExitSideEnumeration,ExitSideEnumeration,4,both|left|right|unknown,manual_from_public_pdf_text
