simple_type,classification,pdf_value,xsd_value,note
DeviceStateEnumeration,only_in_xsd,,warning,XSD inventory permits this value; PDF table does not list it.
GNSSTypeEnumeration,case_difference,Other,other,Values differ only by case.
ServiceNameEnumeration,only_in_pdf,SystemManagementService,,PDF lists this value; XSD inventory does not.
ServiceNameEnumeration,only_in_pdf,SystemDocumentationService,,PDF lists this value; XSD inventory does not.
TicketValidationEnumeration,case_difference,Valid,valid,Values differ only by case.
VehicleModeEnumeration,case_difference,Air,air,Values differ only by case.
RailSubmodeEnumeration,case_or_spelling_difference,specialRail,specialTrain,Non-identical value names; XML validation is case-sensitive.
AirSubmodeEnumeration,only_in_xsd,,canalBarge,XSD inventory permits this value; PDF table does not list it.
FunicularSubmodeEnumeration,case_difference,Unknown,unknown,Values differ only by case.
TaxiSubmodeEnumeration,case_difference,Unknown,unknown,Values differ only by case.
TaxiSubmodeEnumeration,case_difference,Undefined,undefined,Values differ only by case.
TaxiSubmodeEnumeration,case_difference,minicab,miniCab,Values differ only by case.
