source_file,simple_type,restriction_base,value_index,value
IBIS-IP_Enumerations_V2.4.xsd,ConnectionStateEnumeration,xs:string,1,ConnectionBroken
IBIS-IP_Enumerations_V2.4.xsd,ConnectionStateEnumeration,xs:string,2,ConnectionOK
IBIS-IP_Enumerations_V2.4.xsd,ConnectionStateEnumeration,xs:string,3,NoInformationAvailable
IBIS-IP_Enumerations_V2.4.xsd,ConnectionTypeEnumeration,xs:string,1,Interchange
IBIS-IP_Enumerations_V2.4.xsd,ConnectionTypeEnumeration,xs:string,2,ProtectedConnection
IBIS-IP_Enumerations_V2.4.xsd,DataIntervalEnumeration,xs:string,1,DistanceData
IBIS-IP_Enumerations_V2.4.xsd,DataIntervalEnumeration,xs:string,2,GNSSData
IBIS-IP_Enumerations_V2.4.xsd,DataIntervalEnumeration,xs:string,3,Heartbeat
IBIS-IP_Enumerations_V2.4.xsd,DataIntervalEnumeration,xs:string,4,NetworkLocationData
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,1,OnBoardUnit
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,2,SideDisplay
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,3,FrontDisplay
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,4,InteriorDisplay
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,5,Validator
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,6,TicketVendingMachine
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,7,AnnouncementSystem
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,8,MMI
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,9,VideoSystem
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,10,APC
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,11,MobileInterface
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,12,Other
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,13,TestDevice
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,14,MultiFunctionalDisplay
IBIS-IP_Enumerations_V2.4.xsd,DeviceClassEnumeration,xs:string,15,CombiDevice
IBIS-IP_Enumerations_V2.4.xsd,DeviceStateEnumeration,xs:string,1,defective
IBIS-IP_Enumerations_V2.4.xsd,DeviceStateEnumeration,xs:string,2,warning
IBIS-IP_Enumerations_V2.4.xsd,DeviceStateEnumeration,xs:string,3,notavailable
IBIS-IP_Enumerations_V2.4.xsd,DeviceStateEnumeration,xs:string,4,running
IBIS-IP_Enumerations_V2.4.xsd,DeviceStateEnumeration,xs:string,5,readyForShutdown
IBIS-IP_Enumerations_V2.4.xsd,DeviceTaskEnumeration,xs:string,1,restart
IBIS-IP_Enumerations_V2.4.xsd,DeviceTaskEnumeration,xs:string,2,start_standby
IBIS-IP_Enumerations_V2.4.xsd,DeviceTaskEnumeration,xs:string,3,stop_standby
IBIS-IP_Enumerations_V2.4.xsd,DoorCountingObjectClassEnumeration,xs:string,1,Adult
IBIS-IP_Enumerations_V2.4.xsd,DoorCountingObjectClassEnumeration,xs:string,2,Bike
IBIS-IP_Enumerations_V2.4.xsd,DoorCountingObjectClassEnumeration,xs:string,3,Child
IBIS-IP_Enumerations_V2.4.xsd,DoorCountingObjectClassEnumeration,xs:string,4,Pram
IBIS-IP_Enumerations_V2.4.xsd,DoorCountingObjectClassEnumeration,xs:string,5,Wheelchair
IBIS-IP_Enumerations_V2.4.xsd,DoorCountingObjectClassEnumeration,xs:string,6,Unidentified
IBIS-IP_Enumerations_V2.4.xsd,DoorCountingObjectClassEnumeration,xs:string,7,Other
IBIS-IP_Enumerations_V2.4.xsd,DoorCountingQualityEnumeration,xs:string,1,Defect
IBIS-IP_Enumerations_V2.4.xsd,DoorCountingQualityEnumeration,xs:string,2,Regular
IBIS-IP_Enumerations_V2.4.xsd,DoorCountingQualityEnumeration,xs:string,3,Sabotage
IBIS-IP_Enumerations_V2.4.xsd,DoorCountingQualityEnumeration,xs:string,4,Other
IBIS-IP_Enumerations_V2.4.xsd,DoorOpenStateEnumeration,xs:string,1,DoorsOpen
IBIS-IP_Enumerations_V2.4.xsd,DoorOpenStateEnumeration,xs:string,2,AllDoorsClosed
IBIS-IP_Enumerations_V2.4.xsd,DoorOpenStateEnumeration,xs:string,3,SingleDoorOpen
IBIS-IP_Enumerations_V2.4.xsd,DoorOpenStateEnumeration,xs:string,4,SingleDoorClosed
IBIS-IP_Enumerations_V2.4.xsd,DoorOperationStateEnumeration,xs:string,1,Locked
IBIS-IP_Enumerations_V2.4.xsd,DoorOperationStateEnumeration,xs:string,2,Normal
IBIS-IP_Enumerations_V2.4.xsd,DoorOperationStateEnumeration,xs:string,3,EmergencyRelease
IBIS-IP_Enumerations_V2.4.xsd,ErrorCodeEnumeration,xs:string,1,DataEstimated
IBIS-IP_Enumerations_V2.4.xsd,ErrorCodeEnumeration,xs:string,2,FaultData
IBIS-IP_Enumerations_V2.4.xsd,ErrorCodeEnumeration,xs:string,3,NoScheduleDataAvailable
IBIS-IP_Enumerations_V2.4.xsd,ErrorCodeEnumeration,xs:string,4,DeviceMissing
IBIS-IP_Enumerations_V2.4.xsd,ErrorCodeEnumeration,xs:string,5,NoServiceResponse
IBIS-IP_Enumerations_V2.4.xsd,ErrorCodeEnumeration,xs:string,6,ImportantDataNotAvailable
IBIS-IP_Enumerations_V2.4.xsd,ErrorCodeEnumeration,xs:string,7,DataNotValid
IBIS-IP_Enumerations_V2.4.xsd,ErrorCodeEnumeration,xs:string,8,OperationNotSupported
IBIS-IP_Enumerations_V2.4.xsd,ExitSideEnumeration,xs:string,1,both
IBIS-IP_Enumerations_V2.4.xsd,ExitSideEnumeration,xs:string,2,left
IBIS-IP_Enumerations_V2.4.xsd,ExitSideEnumeration,xs:string,3,right
IBIS-IP_Enumerations_V2.4.xsd,ExitSideEnumeration,xs:string,4,unknown
IBIS-IP_Enumerations_V2.4.xsd,GNSSCoordinateSystemEnumeration,xs:string,1,CH1903
IBIS-IP_Enumerations_V2.4.xsd,GNSSCoordinateSystemEnumeration,xs:string,2,ETSR89
IBIS-IP_Enumerations_V2.4.xsd,GNSSCoordinateSystemEnumeration,xs:string,3,IERS
IBIS-IP_Enumerations_V2.4.xsd,GNSSCoordinateSystemEnumeration,xs:string,4,NAD27
IBIS-IP_Enumerations_V2.4.xsd,GNSSCoordinateSystemEnumeration,xs:string,5,NAD83
IBIS-IP_Enumerations_V2.4.xsd,GNSSCoordinateSystemEnumeration,xs:string,6,WGS84
IBIS-IP_Enumerations_V2.4.xsd,GNSSCoordinateSystemEnumeration,xs:string,7,WGS72
IBIS-IP_Enumerations_V2.4.xsd,GNSSCoordinateSystemEnumeration,xs:string,8,SGS85
IBIS-IP_Enumerations_V2.4.xsd,GNSSCoordinateSystemEnumeration,xs:string,9,P90
IBIS-IP_Enumerations_V2.4.xsd,GNSSQualityEnumeration,xs:string,1,dGPS
IBIS-IP_Enumerations_V2.4.xsd,GNSSQualityEnumeration,xs:string,2,Estimated
IBIS-IP_Enumerations_V2.4.xsd,GNSSQualityEnumeration,xs:string,3,GPS
IBIS-IP_Enumerations_V2.4.xsd,GNSSQualityEnumeration,xs:string,4,NotValid
IBIS-IP_Enumerations_V2.4.xsd,GNSSQualityEnumeration,xs:string,5,Unknown
IBIS-IP_Enumerations_V2.4.xsd,GNSSTypeEnumeration,xs:string,1,GPS
IBIS-IP_Enumerations_V2.4.xsd,GNSSTypeEnumeration,xs:string,2,Glonass
IBIS-IP_Enumerations_V2.4.xsd,GNSSTypeEnumeration,xs:string,3,Galileo
IBIS-IP_Enumerations_V2.4.xsd,GNSSTypeEnumeration,xs:string,4,Beidou
IBIS-IP_Enumerations_V2.4.xsd,GNSSTypeEnumeration,xs:string,5,IRNSS
IBIS-IP_Enumerations_V2.4.xsd,GNSSTypeEnumeration,xs:string,6,other
IBIS-IP_Enumerations_V2.4.xsd,GNSSTypeEnumeration,xs:string,7,DeadReckoning
IBIS-IP_Enumerations_V2.4.xsd,GNSSTypeEnumeration,xs:string,8,MixedGNSSTypes
IBIS-IP_Enumerations_V2.4.xsd,JourneyModeEnumeration,xs:string,1,NoTrip
IBIS-IP_Enumerations_V2.4.xsd,JourneyModeEnumeration,xs:string,2,AdditionalTrip
IBIS-IP_Enumerations_V2.4.xsd,JourneyModeEnumeration,xs:string,3,ServiceTrip
IBIS-IP_Enumerations_V2.4.xsd,LocationStateEnumeration,xs:string,1,AfterStop
IBIS-IP_Enumerations_V2.4.xsd,LocationStateEnumeration,xs:string,2,AtStop
IBIS-IP_Enumerations_V2.4.xsd,LocationStateEnumeration,xs:string,3,BeforeStop
IBIS-IP_Enumerations_V2.4.xsd,LocationStateEnumeration,xs:string,4,BetweenStop
IBIS-IP_Enumerations_V2.4.xsd,MessageTypeEnumeration,xs:string,1,Status
IBIS-IP_Enumerations_V2.4.xsd,MessageTypeEnumeration,xs:string,2,Warning
IBIS-IP_Enumerations_V2.4.xsd,MessageTypeEnumeration,xs:string,3,Error
IBIS-IP_Enumerations_V2.4.xsd,RouteDeviationEnumeration,xs:string,1,onroute
IBIS-IP_Enumerations_V2.4.xsd,RouteDeviationEnumeration,xs:string,2,offroute
IBIS-IP_Enumerations_V2.4.xsd,RouteDeviationEnumeration,xs:string,3,unknown
IBIS-IP_Enumerations_V2.4.xsd,RouteDirectionEnumeration,xs:string,1,Forward
IBIS-IP_Enumerations_V2.4.xsd,RouteDirectionEnumeration,xs:string,2,Backward
IBIS-IP_Enumerations_V2.4.xsd,RouteDirectionEnumeration,xs:string,3,Clockwise
IBIS-IP_Enumerations_V2.4.xsd,RouteDirectionEnumeration,xs:string,4,Counterclockwise
IBIS-IP_Enumerations_V2.4.xsd,RouteDirectionEnumeration,xs:string,5,Other
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,1,AnalogRadioService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,2,CustomerInformationService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,3,DeviceManagementService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,4,JourneyInformationService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,5,BeaconLocationService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,6,DistanceLocationService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,7,DoorStateService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,8,GNSSLocationService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,9,HTMLDisplayService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,10,NetworkLocationService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,11,PassengerCountingService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,12,SystemMonitoringService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,13,TestService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,14,TicketValidationService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,15,TicketingService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,16,TimeService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,17,TrainSetDataService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,18,TrainSetInformationService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,19,TrainSetManagementService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,20,VideoLiveService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,21,VideoRecordingService
IBIS-IP_Enumerations_V2.4.xsd,ServiceNameEnumeration,xs:string,22,VideoDisplayService
IBIS-IP_Enumerations_V2.4.xsd,ServiceStateEnumeration,xs:string,1,defective
IBIS-IP_Enumerations_V2.4.xsd,ServiceStateEnumeration,xs:string,2,notrunning
IBIS-IP_Enumerations_V2.4.xsd,ServiceStateEnumeration,xs:string,3,running
IBIS-IP_Enumerations_V2.4.xsd,ServiceStateEnumeration,xs:string,4,standby
IBIS-IP_Enumerations_V2.4.xsd,ServiceStateEnumeration,xs:string,5,starting
IBIS-IP_Enumerations_V2.4.xsd,SystemDocumentationInformationEnumeration,xs:string,1,ErrorMessage
IBIS-IP_Enumerations_V2.4.xsd,SystemDocumentationInformationEnumeration,xs:string,2,StatusMessage
IBIS-IP_Enumerations_V2.4.xsd,SystemDocumentationInformationEnumeration,xs:string,3,WarningMessage
IBIS-IP_Enumerations_V2.4.xsd,SystemDocumentationInformationEnumeration,xs:string,4,All
IBIS-IP_Enumerations_V2.4.xsd,TicketRazziaInformationEnumeration,xs:string,1,razzia
IBIS-IP_Enumerations_V2.4.xsd,TicketRazziaInformationEnumeration,xs:string,2,norazzia
IBIS-IP_Enumerations_V2.4.xsd,TicketValidationEnumeration,xs:string,1,valid
IBIS-IP_Enumerations_V2.4.xsd,TicketValidationEnumeration,xs:string,2,notvalid
IBIS-IP_Enumerations_V2.4.xsd,TicketValidationEnumeration,xs:string,3,NoCard
IBIS-IP_Enumerations_V2.4.xsd,VehicleModeEnumeration,xs:string,1,air
IBIS-IP_Enumerations_V2.4.xsd,VehicleModeEnumeration,xs:string,2,bus
IBIS-IP_Enumerations_V2.4.xsd,VehicleModeEnumeration,xs:string,3,coach
IBIS-IP_Enumerations_V2.4.xsd,VehicleModeEnumeration,xs:string,4,ferry
IBIS-IP_Enumerations_V2.4.xsd,VehicleModeEnumeration,xs:string,5,metro
IBIS-IP_Enumerations_V2.4.xsd,VehicleModeEnumeration,xs:string,6,rail
IBIS-IP_Enumerations_V2.4.xsd,VehicleModeEnumeration,xs:string,7,tram
IBIS-IP_Enumerations_V2.4.xsd,VehicleModeEnumeration,xs:string,8,underground
IBIS-IP_Enumerations_V2.4.xsd,TripStateEnumeration,xs:string,1,EmptyRun
IBIS-IP_Enumerations_V2.4.xsd,TripStateEnumeration,xs:string,2,OnTrip
IBIS-IP_Enumerations_V2.4.xsd,TripStateEnumeration,xs:string,3,OffTrip
IBIS-IP_Enumerations_V2.4.xsd,TripStateEnumeration,xs:string,4,TripBreak
IBIS-IP_Enumerations_V2.4.xsd,TripStateEnumeration,xs:string,5,OffDuty
IBIS-IP_Enumerations_V2.4.xsd,TripStateEnumeration,xs:string,6,unknown
IBIS-IP_Enumerations_V2.4.xsd,PtSubModesEnumeration,xs:NMTOKEN,1,unknown
IBIS-IP_Enumerations_V2.4.xsd,PtSubModesEnumeration,xs:NMTOKEN,2,undefined
IBIS-IP_Enumerations_V2.4.xsd,PtSubModesEnumeration,xs:NMTOKEN,3,AirSubmode
IBIS-IP_Enumerations_V2.4.xsd,PtSubModesEnumeration,xs:NMTOKEN,4,BusSubmode
IBIS-IP_Enumerations_V2.4.xsd,PtSubModesEnumeration,xs:NMTOKEN,5,CoachSubmode
IBIS-IP_Enumerations_V2.4.xsd,PtSubModesEnumeration,xs:NMTOKEN,6,FunicularSubmode
IBIS-IP_Enumerations_V2.4.xsd,PtSubModesEnumeration,xs:NMTOKEN,7,MetroSubmode
IBIS-IP_Enumerations_V2.4.xsd,PtSubModesEnumeration,xs:NMTOKEN,8,TramSubmode
IBIS-IP_Enumerations_V2.4.xsd,PtSubModesEnumeration,xs:NMTOKEN,9,TelecabinSubmode
IBIS-IP_Enumerations_V2.4.xsd,PtSubModesEnumeration,xs:NMTOKEN,10,RailSubmode
IBIS-IP_Enumerations_V2.4.xsd,PtSubModesEnumeration,xs:NMTOKEN,11,WaterSubmode
IBIS-IP_Enumerations_V2.4.xsd,PrivateSubModesEnumeration,xs:NMTOKEN,1,unknown
IBIS-IP_Enumerations_V2.4.xsd,PrivateSubModesEnumeration,xs:NMTOKEN,2,undefined
IBIS-IP_Enumerations_V2.4.xsd,PrivateSubModesEnumeration,xs:NMTOKEN,3,SelfDriveSubmode
IBIS-IP_Enumerations_V2.4.xsd,PrivateSubModesEnumeration,xs:NMTOKEN,4,TaxiSubmode
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,1,unknown
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,2,local
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,3,highSpeedRail
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,4,suburbanRailway
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,5,regionalRail
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,6,interregionalRail
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,7,longDistance
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,8,international
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,9,sleeperRailService
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,10,nightRail
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,11,carTransportRailService
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,12,touristRailway
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,13,airportLinkRail
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,14,railShuttle
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,15,replacementRailService
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,16,specialTrain
IBIS-IP_Enumerations_V2.4.xsd,RailSubmodeEnumeration,xs:NMTOKEN,17,crossCountryRail
