service_id,service_version,service_xsd,root_element,type_name,source_tag,source_aggregate,source_aggregate_blob
CustomerInformationService,1.0,IBIS-IP_CustomerInformationService_V1.0.xsd,CustomerInformationService.GetAllDataResponse,CustomerInformationService.GetAllDataResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
CustomerInformationService,1.0,IBIS-IP_CustomerInformationService_V1.0.xsd,CustomerInformationService.GetCurrentAnnouncementResponse,CustomerInformationService.GetCurrentAnnouncementResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
CustomerInformationService,1.0,IBIS-IP_CustomerInformationService_V1.0.xsd,CustomerInformationService.GetCurrentConnectionInformationResponse,CustomerInformationService.GetCurrentConnectionInformationResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
CustomerInformationService,1.0,IBIS-IP_CustomerInformationService_V1.0.xsd,CustomerInformationService.GetCurrentDisplayContentResponse,CustomerInformationService.GetCurrentDisplayContentResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
CustomerInformationService,1.0,IBIS-IP_CustomerInformationService_V1.0.xsd,CustomerInformationService.GetCurrentStopPointResponse,CustomerInformationService.GetCurrentStopPointResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
CustomerInformationService,1.0,IBIS-IP_CustomerInformationService_V1.0.xsd,CustomerInformationService.GetCurrentStopIndexResponse,CustomerInformationService.GetCurrentStopIndexResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
CustomerInformationService,1.0,IBIS-IP_CustomerInformationService_V1.0.xsd,CustomerInformationService.GetTripDataResponse,CustomerInformationService.GetTripDataResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
CustomerInformationService,1.0,IBIS-IP_CustomerInformationService_V1.0.xsd,CustomerInformationService.GetVehicleDataResponse,CustomerInformationService.GetVehicleDataResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
CustomerInformationService,1.0,IBIS-IP_CustomerInformationService_V1.0.xsd,CustomerInformationService.RetrievePartialStopSequenceRequest,CustomerInformationService.RetrievePartialStopSequenceRequestStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
CustomerInformationService,1.0,IBIS-IP_CustomerInformationService_V1.0.xsd,CustomerInformationService.RetrievePartialStopSequenceResponse,CustomerInformationService.RetrievePartialStopSequenceResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
DeviceManagementService,1.0,IBIS-IP_DeviceManagementService_V1.0.xsd,DeviceManagementService.GetDeviceInformationResponse,DeviceManagementService.GetDeviceInformationResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
DeviceManagementService,1.0,IBIS-IP_DeviceManagementService_V1.0.xsd,DeviceManagementService.GetDeviceConfigurationResponse,DeviceManagementService.GetDeviceConfigurationResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
DeviceManagementService,1.0,IBIS-IP_DeviceManagementService_V1.0.xsd,DeviceManagementService.SetDeviceConfigurationRequest,DeviceManagementService.SetDeviceConfigurationRequestStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
DeviceManagementService,1.0,IBIS-IP_DeviceManagementService_V1.0.xsd,DeviceManagementService.GetDeviceStatusResponse,DeviceManagementService.GetDeviceStatusResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
DeviceManagementService,1.0,IBIS-IP_DeviceManagementService_V1.0.xsd,DeviceManagementService.GetDeviceErrorMessagesResponse,DeviceManagementService.GetDeviceErrorMessagesResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
DeviceManagementService,1.0,IBIS-IP_DeviceManagementService_V1.0.xsd,DeviceManagementService.GetServiceInformationResponse,DeviceManagementService.GetServiceInformationResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
DeviceManagementService,1.0,IBIS-IP_DeviceManagementService_V1.0.xsd,DeviceManagementService.GetServiceStatusResponse,DeviceManagementService.GetServiceStatusResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
DeviceManagementService,1.0,IBIS-IP_DeviceManagementService_V1.0.xsd,DeviceManagementService.StartServiceRequest,DeviceManagementService.StartServiceRequestStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
DeviceManagementService,1.0,IBIS-IP_DeviceManagementService_V1.0.xsd,DeviceManagementService.RestartServiceRequest,DeviceManagementService.RestartServiceRequestStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
DeviceManagementService,1.0,IBIS-IP_DeviceManagementService_V1.0.xsd,DeviceManagementService.StopServiceRequest,DeviceManagementService.StopServiceRequestStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
SystemDocumentationService,1.0,IBIS-IP_SystemDocumentationService_v1.0.xsd,SystemDocumentationService.GetSystemConfigurationResponse,SystemDocumentationService.GetSystemConfigurationResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
SystemDocumentationService,1.0,IBIS-IP_SystemDocumentationService_v1.0.xsd,SystemDocumentationService.StoreSystemConfigurationRequest,SystemDocumentationService.StoreSystemConfigurationRequestStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
SystemDocumentationService,1.0,IBIS-IP_SystemDocumentationService_v1.0.xsd,SystemDocumentationService.RetrieveLogMessagesRequest,SystemDocumentationService.RetrieveLogMessagesRequestStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
SystemDocumentationService,1.0,IBIS-IP_SystemDocumentationService_v1.0.xsd,SystemDocumentationService.RetrieveLogMessagesResponse,SystemDocumentationService.RetrieveLogMessagesResponseStructure,VDV-301-1.0,IBIS_IP_V1.0.xsd,41289eaed2674a169fdf77a10a2eff293c76d5c4
